VIN_1_10,County,City,State,Postal_Code,Model_Year,Make,Model,Electric_Vehicle_Type,Clean_Alternative_Fuel_Vehicle_CAFV_Eligibility,Electric_Range,Base_MSRP,Legislative_District,DOL_Vehicle_ID,Vehicle_Location,Electric_Utility,_2020_Census_Tract
JTMEB3FV6N,Monroe,Key West,FL,33040,2022,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,NULL,198968248,POINT (-81.80023 24.5545),NULL,12087972100
1G1RD6E45D,Clark,Laughlin,NV,89029,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,NULL,5204412,POINT (-114.57245 35.16815),NULL,32003005702
3C3CFFGE3G,St. Clair,Mascoutah,IL,62258,2016,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,NULL,153786167,POINT (-89.79939 38.49028),NULL,17163504356
5YJXCAE28G,Saratoga,Greenfield Center,NY,12833,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,NULL,218050878,POINT (-73.84643 43.1284),NULL,36091060601
5YJSA1E22G,Newport News,Newport News,VA,23602,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,NULL,111593331,POINT (-76.53585 37.10499),NULL,51700032131
WBY1Z4C5XG,Jackson,Altus,OK,73521,2016,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,NULL,212273260,POINT (-99.33374 34.63783),NULL,40065968500
5YJ3E1EB3J,Lake,Highland Park,IL,60035,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,NULL,128455015,POINT (-87.7992 42.18569),NULL,17097865501
5YJYGDEE2L,Lake,Gurnee,IL,60031,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,NULL,110357341,POINT (-87.91441 42.36495),NULL,17097861609
5YJ3E1EB0M,Geary,Junction City,KS,66441,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,169592412,POINT (-96.83046 39.02826),NULL,20061000300
3MW5P9J02M,Fairfax,Alexandria,VA,22308,2021,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20,0,NULL,144270374,POINT (-77.05745 38.74002),NULL,51059415500
WVWKR7AU6K,Sonoma,Sonoma,CA,95476,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125,0,NULL,220375774,POINT (-122.45728 38.29188),NULL,6097150306
5YJ3E1EB5L,Douglas,Omaha,NE,68110,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,NULL,105044733,POINT (-95.94513 41.30481),NULL,31055000500
5YJ3E1EA0J,Riverside,Wildomar,CA,92595,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,NULL,196439911,POINT (-117.26237 33.61236),NULL,6065043271
5YJXCDE46J,Orange,Aliso Viejo,CA,92656,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,NULL,229979662,POINT (-117.72682 33.56964),NULL,6059062639
5YJ3E1EB1M,Clark,Las Vegas,NV,89147,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,208268000,POINT (-115.29715 36.11477),NULL,32003005875
5YJYGAEE0M,Leavenworth,Fort Leavenworth,KS,66027,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,183244330,POINT (-94.93427 39.34433),NULL,20103981900
JTMAB3FV1M,Contra Costa,Moraga,CA,94556,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,NULL,170763764,POINT (-122.12775 37.85356),NULL,6013351200
1G1RB6S51H,Howard,Dayton,MD,21036,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,NULL,158341802,POINT (-76.99179 39.2416),NULL,24027605104
5YJ3E1EB8J,Larimer,Timnath,CO,80547,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,NULL,307712436,POINT (-104.98231 40.52978),NULL,8069002505
5YJ3E1EB2L,District of Columbia,Washington,DC,20009,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,NULL,108792855,POINT (-77.04405 38.92033),NULL,11001003600
5YJ3E1EBXM,Washington,Keedysville,MD,21756,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,142037626,POINT (-77.69839 39.48824),NULL,24043011501
5YJ3E1EC1L,Tipton,Atoka,TN,38004,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,0,NULL,5024582,POINT (-89.77858 35.44156),NULL,47167040302
5YJSA1E20H,San Diego,San Diego,CA,92124,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,NULL,151980573,POINT (-117.07993 32.8347),NULL,6073009506
JTDKARFP4H,Sumter,Sumter,SC,29153,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,NULL,151203090,POINT (-80.34689 33.95059),NULL,45085000401
5YJSA1E2XG,Prince George's,Upper Marlboro,MD,20774,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,NULL,207337350,POINT (-76.84002 38.90272),NULL,24033800521
3FA6P0SU5E,New Haven,Madison,CT,6443,2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,NULL,148736234,POINT (-72.59507 41.27973),NULL,9009194201
1C4JJXP64M,Lincoln,Lincoln City,OR,97367,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,NULL,183141584,POINT (-124.01768 44.93009),NULL,41041950402
1G1FY6S08M,Las Animas,Trinidad,CO,81082,2021,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,161523736,POINT (-104.50818 37.16772),NULL,8071000800
5YJ3E1EBXK,Frederick,Frederick,MD,21704,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,NULL,114252337,POINT (-77.38938 39.40161),NULL,24021752205
3FA6P0SU9E,Hidalgo,Mcallen,TX,78501,2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,NULL,119899125,NULL,NULL,48215020732
7SAYGAEE0N,Bexar,San Antonio,TX,78258,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,196676735,POINT (-98.52212 29.61445),NULL,48029191812
5YJYGDEE6M,Pennington,Rapid City,SD,57701,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,137174124,POINT (-103.2308 44.08146),NULL,46103010904
2C4RC1N73J,New Haven,Madison,CT,6443,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,NULL,133378997,POINT (-72.59507 41.27973),NULL,9009194201
5YJSA1E26K,Honolulu,Honolulu,HI,96818,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270,0,NULL,185220493,POINT (-157.94001 21.34183),NULL,15003007400
5UXTA6C04N,Anne Arundel,Odenton,MD,21113,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,NULL,201976519,POINT (-76.69505 39.0814),NULL,24003740704
2C4RC1N72J,Douglas,Omaha,NE,68135,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,NULL,322474764,POINT (-96.16579 41.20002),NULL,31055007461
KM8K33AGXN,Montgomery,Silver Spring,MD,20906,2022,HYUNDAI,KONA ELECTRIC,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,198535893,POINT (-77.07354 39.09303),NULL,24031703220
5YJ3E1EA1J,Houston,Warner Robins,GA,31088,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,NULL,196870201,POINT (-83.66512 32.60833),NULL,13153021124
5YJYGAEE2M,Charleston,Charleston Afb,SC,29404,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,175339559,POINT (-80.066 32.89244),NULL,45019003200
7SAYGDEE7N,Bexar,San Antonio,TX,78258,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,209599344,POINT (-98.52212 29.61445),NULL,48029191812
5YJ3E1EBXL,Monterey,Monterey,CA,93940,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,NULL,104155124,POINT (-121.89647 36.5982),NULL,6053013000
5YJ3E1EB3K,Kern,Ridgecrest,CA,93555,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,NULL,312503502,POINT (-117.66798 35.62248),NULL,6029005300
3FA6P0PU8F,Kern,Ridgecrest,CA,93555,2015,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,NULL,475775205,POINT (-117.66798 35.62248),NULL,6029005300
5YJSA1E28H,San Diego,San Diego,CA,92102,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,NULL,349543435,POINT (-117.10893 32.71148),NULL,6073004400
WAUTPBFF5H,Napa,Napa,CA,94559,2017,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,0,NULL,219652191,POINT (-122.28541 38.29911),NULL,6055200201
YV1BK0EP3N,San Diego,San Diego,CA,92111,2022,VOLVO,V60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,NULL,226150627,POINT (-117.17188 32.81936),NULL,6073008509
5YJ3E1EA8K,Loudoun,Aldie,VA,20105,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,NULL,475473743,POINT (-77.6513 38.97842),NULL,51107611809
5YJYGDEE9M,Harrison,Biloxi,MS,39531,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,138169265,POINT (-88.9941 30.39451),NULL,28047001203
5YJ3E1EB4J,San Diego,San Diego,CA,92103,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,NULL,138183839,POINT (-117.17592 32.73722),NULL,6073000301
5YJ3E1EA0L,San Diego,Chula Vista,CA,91913,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,NULL,215073008,POINT (-116.97437 32.61628),NULL,6073013317
7SAYGDEF1N,Pulaski,Little Rock,AR,72205,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,209624852,POINT (-92.32538 34.75693),NULL,5119001501
5UXKT0C36H,Cumberland,Fayetteville,NC,28305,2017,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,NULL,110287313,POINT (-78.90159 35.05792),NULL,37051000900
JTDKN3DPXC,Los Angeles,Lakewood,CA,90713,2012,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,0,NULL,247180615,POINT (-118.11725 33.861),NULL,6037571000
WAUUPBFF9H,Ray,Rayville,MO,64084,2017,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,0,NULL,142243125,POINT (-94.06331 39.34793),NULL,29177080001
YV1BK0EP2M,San Diego,San Diego,CA,92107,2021,VOLVO,V60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,NULL,151141518,POINT (-117.24736 32.74626),NULL,6073007002
JTDKN3DP5F,Salt Lake,Salt Lake City,UT,84115,2015,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,0,NULL,138270667,POINT (-111.89452 40.73992),NULL,49035111701
5YJ3E1EB8K,Clark,North Las Vegas,NV,89084,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,NULL,477326650,POINT (-115.20278 36.29143),NULL,32003003619
1FADP5CU7E,Clark,Las Vegas,NV,89118,2014,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,NULL,109612352,POINT (-115.21837 36.09378),NULL,32003002979
7SAXCBE62N,Loudoun,Aldie,VA,20105,2022,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,198763512,POINT (-77.6513 38.97842),NULL,51107611029
5YJYGDEE6M,Solano,Vacaville,CA,95688,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,180714810,POINT (-121.99263 38.35218),NULL,6095253101
5YJYGAEE1M,Montgomery,Fort Campbell,TN,42223,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,154576061,POINT (-87.43844 36.64424),NULL,47125101400
5YJXCBE22G,Allegheny,Wexford,PA,15090,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,NULL,177131685,NULL,NULL,42003411002
1FADP5CU6F,District of Columbia,Washington,DC,20002,2015,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,NULL,476247845,POINT (-76.988642 38.904734),NULL,11001010601
3FA6P0SU4F,Carroll,Westminster,MD,21157,2015,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,NULL,120552358,POINT (-76.99225 39.57467),NULL,24013507602
1N4AZ1CP4K,Clackamas,West Linn,OR,97068,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,NULL,138404969,POINT (-122.64782 45.36625),NULL,41005020601
7SAYGDEF9N,Kent,Dover,DE,19901,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,220766101,POINT (-75.50358 39.10597),NULL,10001041101
WVGTMPE28M,Salt Lake,Salt Lake City,UT,84129,2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,185416402,POINT (-111.94855 40.6527),NULL,49035113523
5YJYGDEF0M,Anne Arundel,Arnold,MD,21012,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,145443490,POINT (-76.50718 39.0329),NULL,24003731103
5YJ3E1EA6K,Lake,Tavares,FL,32778,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,NULL,131739205,POINT (-81.73215 28.80419),NULL,12069030806
7SAYGDEF8N,Harris,Houston,TX,77042,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,199404691,POINT (-95.57424 29.74768),NULL,48201452202
5YJ3E1EA9M,Ventura,Ventura,CA,93001,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,180620975,POINT (-119.29232 34.28082),NULL,6111002400
5YJYGDEDXM,San Diego,Chula Vista,CA,91913,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,144816927,POINT (-116.97437 32.61628),NULL,6073013317
1FTVW1EL3N,Hamilton,Cincinnati,OH,45243,2022,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,218631052,POINT (-84.36724 39.19105),NULL,39061024100
5YJ3E1ECXN,Ventura,Ventura,CA,93001,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,208394966,POINT (-119.29232 34.28082),NULL,6111002400
JTMAB3FV4N,Polk,Salem,OR,97304,2022,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,NULL,218086949,POINT (-123.05598 44.94796),NULL,41053005301
SADHC2S14K,Placer,Roseville,CA,95747,2019,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,234,0,NULL,101519512,POINT (-121.33747 38.80276),NULL,6061021326
2C4RC1N70J,Calvert,Chesapeake Beach,MD,20732,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,NULL,474291142,POINT (-76.53375 38.69549),NULL,24009860402
5YJ3E1EB1M,Clark,Las Vegas,NV,89146,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,142227949,POINT (-115.20881 36.15352),NULL,32003002905
1N4AZ1CP1J,District of Columbia,Washington,DC,20002,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,NULL,238395335,POINT (-76.988642 38.904734),NULL,11001007903
5YJYGDEE7M,Clark,Las Vegas,NV,89115,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,148679919,POINT (-115.05535 36.24407),NULL,32003003649
5YJ3E1EA8M,Anne Arundel,Odenton,MD,21113,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,177887440,POINT (-76.69505 39.0814),NULL,24003740701
WB523CF01N,Sheridan,Sheridan,WY,82801,2022,BMW,IX,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,205813730,POINT (-106.95587 44.79792),NULL,56033000100
5YJ3E1EA1M,San Diego,Chula Vista,CA,91913,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,151035818,POINT (-116.97437 32.61628),NULL,6073013317
1N4AZ0CP3F,Kings,Lemoore,CA,93245,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,NULL,182237457,POINT (-119.78637 36.30101),NULL,6031980000
JTMEB3FV4N,Montgomery,Montgomery,AL,36106,2022,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,NULL,195356899,POINT (-86.27374 32.3611),NULL,1101001400
KL8CL6S01E,El Paso,Colorado Springs,CO,80923,2014,CHEVROLET,SPARK,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,82,0,NULL,172410990,POINT (-104.70202 38.91191),NULL,8041005120
3FA6P0PU8E,Portsmouth,Portsmouth,VA,23707,2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,NULL,139855411,POINT (-76.3379 36.83436),NULL,51740211600
1G1RA6S5XJ,Calvert,Chesapeake Beach,MD,20732,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,NULL,317850704,POINT (-76.53375 38.69549),NULL,24009860402
YV4BK0DP2M,Los Angeles,Lancaster,CA,93536,2021,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,NULL,205669082,POINT (-118.24538 34.65105),NULL,6037901214
3FMTK3RM7M,Sumter,Sumter,SC,29154,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,212029016,POINT (-80.37 33.89648),NULL,45085000300
5YJ3E1EA7J,Riverside,Menifee,CA,92584,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,NULL,196095028,POINT (-117.15392 33.685),NULL,6065042737
5YJ3E1EA3N,Elmore,Mountain Home Afb,ID,83648,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,185816935,POINT (-115.85601 43.05683),NULL,16039960500
5YJ3E1EB9N,Santa Clara,Santa Clara,CA,95054,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,193746542,POINT (-121.95011 37.39684),NULL,6085504903
3FA6P0SU9H,Bexar,San Antonio,TX,78251,2017,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,NULL,186056034,POINT (-98.65734 29.46536),NULL,48029171918
